"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2026","3,628.00","3,628.00","3,628.00","3,628.00","","4.01%"
"09/03/2026","3,488.00","3,488.00","3,488.00","3,488.00","","4.71%"
"09/02/2026","3,331.00","3,331.00","3,331.00","3,331.00","","5.51%"
"09/01/2026","3,157.00","3,157.00","3,157.00","3,157.00","","-0.91%"
"08/28/2026","3,186.00","3,186.00","3,186.00","3,186.00","","2.54%"
"08/27/2026","3,107.00","3,107.00","3,107.00","3,107.00","","1.67%"
"08/26/2026","3,056.00","3,056.00","3,056.00","3,056.00","","4.44%"
"08/25/2026","2,926.00","2,926.00","2,926.00","2,926.00","","1.53%"
"08/24/2026","2,882.00","2,882.00","2,882.00","2,882.00","","1.44%"
"08/21/2026","2,841.00","2,841.00","2,841.00","2,841.00","","1.79%"
"08/20/2026","2,791.00","2,791.00","2,791.00","2,791.00","","0.54%"
"08/19/2026","2,776.00","2,776.00","2,776.00","2,776.00","","-1.39%"
"08/18/2026","2,815.00","2,815.00","2,815.00","2,815.00","","-2.19%"
"08/17/2026","2,878.00","2,878.00","2,878.00","2,878.00","","0.52%"
"08/14/2026","2,863.00","2,863.00","2,863.00","2,863.00","","0.67%"
"08/13/2026","2,844.00","2,844.00","2,844.00","2,844.00","","-3.23%"
"08/12/2026","2,939.00","2,939.00","2,939.00","2,939.00","","-3.51%"
"08/11/2026","3,046.00","3,046.00","3,046.00","3,046.00","","-1.20%"
"08/10/2026","3,083.00","3,083.00","3,083.00","3,083.00","","-0.19%"
"08/07/2026","3,089.00","3,089.00","3,089.00","3,089.00","","1.05%"
"08/06/2026","3,057.00","3,057.00","3,057.00","3,057.00","","-0.20%"
"08/05/2026","3,063.00","3,063.00","3,063.00","3,063.00","","4.33%"
"08/04/2026","2,936.00","2,936.00","2,936.00","2,936.00","","3.27%"
"08/03/2026","2,843.00","2,843.00","2,843.00","2,843.00","","4.06%"
"07/31/2026","2,732.00","2,732.00","2,732.00","2,732.00","","2.21%"
"07/30/2026","2,673.00","2,673.00","2,673.00","2,673.00","","1.56%"
"07/29/2026","2,632.00","2,632.00","2,632.00","2,632.00","","-1.20%"
"07/28/2026","2,664.00","2,664.00","2,664.00","2,664.00","","-1.19%"
"07/27/2026","2,696.00","2,696.00","2,696.00","2,696.00","","-1.71%"
"07/24/2026","2,743.00","2,743.00","2,743.00","2,743.00","","0.66%"
"07/23/2026","2,725.00","2,725.00","2,725.00","2,725.00","","0.37%"
"07/22/2026","2,715.00","2,715.00","2,715.00","2,715.00","","1.69%"
"07/21/2026","2,670.00","2,670.00","2,670.00","2,670.00","","-0.04%"
"07/20/2026","2,671.00","2,671.00","2,671.00","2,671.00","","-2.94%"
"07/17/2026","2,752.00","2,752.00","2,752.00","2,752.00","","-3.10%"
"07/16/2026","2,840.00","2,840.00","2,840.00","2,840.00","","-3.04%"
"07/15/2026","2,929.00","2,929.00","2,929.00","2,929.00","","-1.71%"
"07/14/2026","2,980.00","2,980.00","2,980.00","2,980.00","","0.68%"
"07/13/2026","2,960.00","2,960.00","2,960.00","2,960.00","","0.54%"
"07/10/2026","2,944.00","2,944.00","2,944.00","2,944.00","","1.17%"
"07/09/2026","2,910.00","2,910.00","2,910.00","2,910.00","","1.36%"
"07/08/2026","2,871.00","2,871.00","2,871.00","2,871.00","","-0.14%"
"07/07/2026","2,875.00","2,875.00","2,875.00","2,875.00","","2.79%"
"07/06/2026","2,797.00","2,797.00","2,797.00","2,797.00","","2.94%"
"07/03/2026","2,717.00","2,717.00","2,717.00","2,717.00","","2.53%"
"07/02/2026","2,650.00","2,650.00","2,650.00","2,650.00","","3.43%"
"07/01/2026","2,562.00","2,562.00","2,562.00","2,562.00","","2.44%"
"06/30/2026","2,501.00","2,501.00","2,501.00","2,501.00","","0.44%"
"06/29/2026","2,490.00","2,490.00","2,490.00","2,490.00","","-1.35%"
"06/26/2026","2,524.00","2,524.00","2,524.00","2,524.00","","-2.59%"
"06/25/2026","2,591.00","2,591.00","2,591.00","2,591.00","","-1.63%"
"06/24/2026","2,634.00","2,634.00","2,634.00","2,634.00","","-1.24%"
"06/23/2026","2,667.00","2,667.00","2,667.00","2,667.00","","-0.63%"
"06/22/2026","2,684.00","2,684.00","2,684.00","2,684.00","","-1.40%"
"06/19/2026","2,722.00","2,722.00","2,722.00","2,722.00","","2.37%"
"06/18/2026","2,659.00","2,659.00","2,659.00","2,659.00","","0.23%"
"06/17/2026","2,653.00","2,653.00","2,653.00","2,653.00","","-0.64%"
"06/16/2026","2,670.00","2,670.00","2,670.00","2,670.00","","-1.84%"
"06/15/2026","2,720.00","2,729.00","2,729.00","2,720.00","","-3.48%"
